# lambda/AA  F/Fc
6598.0927 0.994514
6598.0910 0.994702
6598.0894 0.994948
6598.0877 0.994850
6598.0861 0.994587
6598.0845 0.994529
6598.0828 0.994645
6598.0812 0.994802
6598.0795 0.994936
6598.0779 0.994939
6598.0763 0.994851
6598.0746 0.994896
6598.0730 0.995181
6598.0713 0.995492
6598.0697 0.995452
6598.0681 0.995090
6598.0664 0.994906
6598.0648 0.995092
6598.0631 0.995374
6598.0615 0.995677
6598.0599 0.996007
6598.0582 0.996113
6598.0566 0.995996
6598.0549 0.995984
6598.0533 0.996125
6598.0517 0.996251
6598.0500 0.996280
6598.0484 0.996153
6598.0467 0.996011
6598.0451 0.996155
6598.0434 0.996484
6598.0418 0.996666
6598.0402 0.996758
6598.0385 0.996929
6598.0369 0.997012
6598.0352 0.996887
6598.0336 0.996745
6598.0320 0.996721
6598.0303 0.996811
6598.0287 0.997058
6598.0270 0.997312
6598.0254 0.997276
6598.0238 0.997102
6598.0221 0.997148
6598.0205 0.997218
6598.0188 0.997088
6598.0172 0.997118
6598.0156 0.997421
6598.0139 0.997604
6598.0123 0.997657
6598.0106 0.997710
6598.0090 0.997522
6598.0074 0.997278
6598.0057 0.997475
6598.0041 0.997808
6598.0024 0.997778
6598.0008 0.997736
6597.9992 0.997971
6597.9975 0.998089
6597.9959 0.997969
6597.9942 0.997968
6597.9926 0.998119
6597.9910 0.998175
6597.9893 0.998141
6597.9877 0.998142
6597.9860 0.998165
6597.9844 0.998183
6597.9828 0.998192
6597.9811 0.998119
6597.9795 0.997968
6597.9778 0.997858
6597.9762 0.997804
6597.9746 0.997797
6597.9729 0.997897
6597.9713 0.997978
6597.9696 0.997876
6597.9680 0.997794
6597.9664 0.997924
6597.9647 0.998041
6597.9631 0.998037
6597.9614 0.998115
6597.9598 0.998266
6597.9582 0.998343
6597.9565 0.998434
6597.9549 0.998559
6597.9532 0.998470
6597.9516 0.998119
6597.9500 0.997822
6597.9483 0.997783
6597.9467 0.997862
6597.9450 0.997902
6597.9434 0.997918
6597.9418 0.997931
6597.9401 0.997946
6597.9385 0.997990
6597.9368 0.997987
6597.9352 0.997890
6597.9336 0.997882
6597.9319 0.998026
6597.9303 0.998105
6597.9286 0.998062
